record_type,route_option,route_countries,venue_#,venue_Venue,venue_City,venue_Country,venue_Why It Fits The Dialtones,venue_Venue Booking Agent Name,venue_Booking Agent Email / Booking Route,venue_Link of Venue,venue_Social Media Links for Venue,venue_Typical Venue Pay,venue_Size Tier,cobill_country,cobill_country_rank,cobill_band,cobill_type,cobill_begin,cobill_genres,cobill_why_fit,cobill_band_manager,cobill_manager_contact_info,cobill_cities_venues_past_18_months,cobill_band_socials,cobill_band_website,cobill_soundcloud,cobill_spotify,cobill_apple_music,cobill_recent_articles_past_18_months,cobill_musicbrainz
venue,Tour Option 5: Italy / Germany / Austria,Italy / Germany / Austria,255,MONK Roma,Rome,Italy,"creative Rome live venue with indie, alternative, and arts-community audience",Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link: https://www.monkroma.it,instagram.com: https://www.instagram.com/monkroma / facebook.com: https://www.facebook.com/monkroma,"€600-€2,500 guarantee vs split",mid,,,,,,,,,,,,,,,,,
venue,Tour Option 5: Italy / Germany / Austria,Italy / Germany / Austria,195,Privatclub,Berlin,Germany,compact indie/rock venue,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link: https://privatclub-berlin.de,facebook.com: https://www.facebook.com/privatclub / twitter.com: https://twitter.com/privatclub_bln / instagram.com: https://www.instagram.com/privatclub_berlin / instagram.com: https://www.instagram.com/sandra.hesch,€150-€700 guarantee or door split,small,,,,,,,,,,,,,,,,,
venue,Tour Option 5: Italy / Germany / Austria,Italy / Germany / Austria,95,WUK,Vienna,Austria,arts center with alternative music,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link: https://www.wuk.at,Instagram search: https://www.instagram.com/explore/search/keyword/?q=WUK+Vienna / Facebook search: https://www.facebook.com/search/top?q=WUK+Vienna,"€600-€2,500 guarantee vs split",mid,,,,,,,,,,,,,,,,,
venue,Tour Option 5: Italy / Germany / Austria,Italy / Germany / Austria,252,Santeria Toscana 31,Milan,Italy,"arts-forward Milan concert room for indie, songwriter, and crossover acts",Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link: https://www.santeria.milano.it/toscana-31,instagram.com: https://www.instagram.com/santeriasocialclub / facebook.com: https://www.facebook.com/santeriasocialclub,"€600-€2,500 guarantee vs split",mid,,,,,,,,,,,,,,,,,
venue,Tour Option 5: Italy / Germany / Austria,Italy / Germany / Austria,235,Kulturzentrum Merlin,Stuttgart,Germany,arts-forward Stuttgart room,Public buyer not found in quick pass,info@merlinstuttgart.de,Venue link: https://www.merlinstuttgart.de,x.com: https://x.com/merlinstuttgart / instagram.com: https://www.instagram.com/merlinstuttgart / facebook.com: https://www.facebook.com/Merlinstuttgart,€150-€700 guarantee or door split,small,,,,,,,,,,,,,,,,,
venue,Tour Option 5: Italy / Germany / Austria,Italy / Germany / Austria,97,Chelsea,Vienna,Austria,indie and alternative room,Public buyer not found in quick pass,chelsea@sil.at,Venue link: https://www.chelsea.co.at,facebook.com: http://www.facebook.com/pages/Chelsea/49710543397,€150-€700 guarantee or door split,small,,,,,,,,,,,,,,,,,
venue,Tour Option 5: Italy / Germany / Austria,Italy / Germany / Austria,253,ARCI Bellezza,Milan,Italy,historic cultural club with intimate indie and songwriter programming,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link: https://www.arcibellezza.it,instagram.com: https://www.instagram.com/arcibellezza / facebook.com: https://www.facebook.com/circoloarcibellezza,€150-€700 guarantee or door split,small,,,,,,,,,,,,,,,,,
venue,Tour Option 5: Italy / Germany / Austria,Italy / Germany / Austria,196,Lido,Berlin,Germany,Kreuzberg indie institution,Public buyer not found in quick pass,"info@lido-berlin.de, INFO@LIDO-BERLIN.DE",Venue link: https://www.lido-berlin.de,facebook.com: https://www.facebook.com/lidoberlin / instagram.com: https://www.instagram.com/lidoberlin / facebook.com: https://www.facebook.com/sharer.php / facebook.com: https://www.facebook.com/36Concerts,"€600-€2,500 guarantee vs split",mid,,,,,,,,,,,,,,,,,
venue,Tour Option 5: Italy / Germany / Austria,Italy / Germany / Austria,99,B72,Vienna,Austria,alternative small-cap Vienna room,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link: https://www.b72.at,Instagram search: https://www.instagram.com/explore/search/keyword/?q=B72+Vienna / Facebook search: https://www.facebook.com/search/top?q=B72+Vienna,€150-€700 guarantee or door split,small,,,,,,,,,,,,,,,,,
venue,Tour Option 5: Italy / Germany / Austria,Italy / Germany / Austria,262,Spazio211,Turin,Italy,grassroots Turin indie/alternative venue with discovery-room fit,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link: https://www.spazio211.com,instagram.com: https://www.instagram.com/spazio211 / facebook.com: https://www.facebook.com/spazio211,€150-€700 guarantee or door split,small,,,,,,,,,,,,,,,,,
