#,Venue,City,Country,Why It Fits The Dialtones,Venue Booking Agent Name,Booking Agent Email / Booking Route,Link of Venue,Social Media Links for Venue,Typical Venue Pay,Size Tier
1,The Lexington,London,United Kingdom,AAA/indie/folk-rock pub room with touring credibility,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,Instagram search / Facebook search,€150-€600 / £150-£500 guarantee or door split,small
2,Cafe OTO,London,United Kingdom,"experimental, improvised, intermedia-friendly room",Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,twitter.com / facebook.com / instagram.com,€150-€600 / £150-£500 guarantee or door split,small
3,St Pancras Old Church,London,United Kingdom,intimate seated/acoustic-friendly church venue,Public buyer not found in quick pass,"fr.owen@posp.co.uk, brendan.collins@posp.co.uk, stpancrasoldchurch@outlook.com",Venue link,facebook.com / facebook.com / facebook.com,€150-€600 / £150-£500 guarantee or door split,small
4,The Bedford,London,United Kingdom,writerly singer-songwriter and band showcases,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,facebook.com / twitter.com / instagram.com / twitter.com,€150-€600 / £150-£500 guarantee or door split,small
5,Banquet Records,Kingston upon Thames,United Kingdom,in-store/acoustic promo option around releases,Public buyer not found in quick pass,shop@banquetrecords.com,Venue link,Instagram search / Facebook search,€150-€600 / £150-£500 guarantee or door split,small
6,The Ivy House,London,United Kingdom,community-owned independent venue,Public buyer not found in quick pass,user@domain.com,Venue link,facebook.com / instagram.com / facebook.com / x.com,€150-€600 / £150-£500 guarantee or door split,small
7,The Windmill Brixton,London,United Kingdom,grassroots indie and alternative discovery room,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,facebook.com / twitter.com / instagram.com,€150-€600 / £150-£500 guarantee or door split,small
8,The Shacklewell Arms,London,United Kingdom,indie/alternative touring room,Public buyer not found in quick pass,user@domain.com,Venue link,facebook.com / facebook.com / instagram.com / facebook.com,€150-€600 / £150-£500 guarantee or door split,small
9,The Waiting Room,London,United Kingdom,small-cap alternative and indie room,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,Instagram search / Facebook search,€150-€600 / £150-£500 guarantee or door split,small
10,Oslo Hackney,London,United Kingdom,indie touring and club venue,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,twitter.com / facebook.com / instagram.com / twitter.com,"€500-€2,000 / £500-£1,800 guarantee vs split",mid
11,Moth Club,London,United Kingdom,characterful indie/alternative room,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,facebook.com,"€500-€2,000 / £500-£1,800 guarantee vs split",mid
12,EartH Hackney,London,United Kingdom,arts-forward concert hall for developed shows,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,instagram.com / instagram.com / twitter.com / facebook.com,"€500-€2,000 / £500-£1,800 guarantee vs split",mid
13,Village Underground,London,United Kingdom,larger alternative/indie London date,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,instagram.com / twitter.com / facebook.com,"€500-€2,000 / £500-£1,800 guarantee vs split",mid
14,Omeara,London,United Kingdom,polished small/mid touring room,Public buyer not found in quick pass,clubs@raeslondon.co.uk,Venue link,facebook.com,"€500-€2,000 / £500-£1,800 guarantee vs split",mid
15,The Garage,London,United Kingdom,established alternative touring venue,Public buyer not found in quick pass,info@thegarage.london,Venue link,twitter.com / facebook.com / facebook.com / instagram.com,"€500-€2,000 / £500-£1,800 guarantee vs split",mid
16,229 London,London,United Kingdom,central London club venue,Public buyer not found in quick pass,"//info@229.london, info@229.london",Venue link,instagram.com / facebook.com / instagram.com,"€500-€2,000 / £500-£1,800 guarantee vs split",mid
17,100 Club,London,United Kingdom,historic live music room,Public buyer not found in quick pass,ruby@the100club.co.uk,Venue link,facebook.com / twitter.com / instagram.com,"€500-€2,000 / £500-£1,800 guarantee vs split",mid
18,Bush Hall,London,United Kingdom,seated/standing ornate hall for songwriter bands,Public buyer not found in quick pass,notes@bushhallmusic.co.uk,Venue link,facebook.com / instagram.com / twitter.com,"€500-€2,000 / £500-£1,800 guarantee vs split",mid
