record_type,route_option,route_countries,venue_#,venue_Venue,venue_City,venue_Country,venue_Why It Fits The Dialtones,venue_Venue Booking Agent Name,venue_Booking Agent Email / Booking Route,venue_Link of Venue,venue_Social Media Links for Venue,venue_Typical Venue Pay,venue_Size Tier,cobill_country,cobill_country_rank,cobill_band,cobill_type,cobill_begin,cobill_genres,cobill_why_fit,cobill_band_manager,cobill_manager_contact_info,cobill_cities_venues_past_18_months,cobill_band_socials,cobill_band_website,cobill_soundcloud,cobill_spotify,cobill_apple_music,cobill_recent_articles_past_18_months,cobill_musicbrainz
venue,Tour Option 1: UK / Ireland / Netherlands,United Kingdom / Ireland / Netherlands,1,The Lexington,London,United Kingdom,AAA/indie/folk-rock pub room with touring credibility,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link: https://www.thelexington.co.uk,Instagram search: https://www.instagram.com/explore/search/keyword/?q=The+Lexington+London / Facebook search: https://www.facebook.com/search/top?q=The+Lexington+London,€150-€600 / £150-£500 guarantee or door split,small,,,,,,,,,,,,,,,,,
venue,Tour Option 1: UK / Ireland / Netherlands,United Kingdom / Ireland / Netherlands,90,The Workman's Club,Dublin,Ireland,Dublin indie/alternative room,Public buyer not found in quick pass,privacy@pressup.ie,Venue link: https://theworkmansclub.com,facebook.com: https://www.facebook.com/tr / instagram.com: https://www.instagram.com/workmansclub / instagram.com: https://www.instagram.com/reel/DWo0Sv7gq_u / facebook.com: http://www.facebook.com/TheWorkmansClub,"€500-€2,000 / £500-£1,800 guarantee vs split",mid,,,,,,,,,,,,,,,,,
venue,Tour Option 1: UK / Ireland / Netherlands,United Kingdom / Ireland / Netherlands,246,Tolhuistuin,Amsterdam,Netherlands,arts/music venue,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link: https://tolhuistuin.nl,facebook.com: https://www.facebook.com/tr / facebook.com: https://www.facebook.com/Tolhuistuin / instagram.com: https://instagram.com/tolhuistuin,"€600-€2,500 guarantee vs split",mid,,,,,,,,,,,,,,,,,
venue,Tour Option 1: UK / Ireland / Netherlands,United Kingdom / Ireland / Netherlands,7,The Windmill Brixton,London,United Kingdom,grassroots indie and alternative discovery room,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link: https://www.windmillbrixton.co.uk,facebook.com: https://facebook.com/windmillbrixton / twitter.com: https://twitter.com/WindmillBrixton / instagram.com: https://instagram.com/windmillbrixton,€150-€600 / £150-£500 guarantee or door split,small,,,,,,,,,,,,,,,,,
venue,Tour Option 1: UK / Ireland / Netherlands,United Kingdom / Ireland / Netherlands,89,Whelan's,Dublin,Ireland,legendary Irish indie venue,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link: https://www.whelanslive.com,facebook.com: https://www.facebook.com/whelanslive / instagram.com: https://www.instagram.com/whelanslive / twitter.com: https://twitter.com/whelanslive,"€500-€2,000 / £500-£1,800 guarantee vs split",mid,,,,,,,,,,,,,,,,,
venue,Tour Option 1: UK / Ireland / Netherlands,United Kingdom / Ireland / Netherlands,247,Cinetol,Amsterdam,Netherlands,small indie room,Public buyer not found in quick pass,info@cinetol.nl,Venue link: https://cinetol.nl,instagram.com: https://www.instagram.com/cinetolamsterdam / facebook.com: https://www.facebook.com/Cinetol,€150-€700 guarantee or door split,small,,,,,,,,,,,,,,,,,
venue,Tour Option 1: UK / Ireland / Netherlands,United Kingdom / Ireland / Netherlands,8,The Shacklewell Arms,London,United Kingdom,indie/alternative touring room,Public buyer not found in quick pass,user@domain.com,Venue link: https://www.shacklewellarms.com,facebook.com: http://www.facebook.com/2008/fbml / facebook.com: https://www.facebook.com/ShacklewellArms / instagram.com: http://instagram.com/shacklewellarms / facebook.com: https://www.facebook.com/tr,€150-€600 / £150-£500 guarantee or door split,small,,,,,,,,,,,,,,,,,
venue,Tour Option 1: UK / Ireland / Netherlands,United Kingdom / Ireland / Netherlands,92,The Sugar Club,Dublin,Ireland,seated/cabaret-style venue,Public buyer not found in quick pass,info@thesugarclub.com,Venue link: https://thesugarclub.com,instagram.com: https://www.instagram.com/thesugarclub,"€500-€2,000 / £500-£1,800 guarantee vs split",mid,,,,,,,,,,,,,,,,,
venue,Tour Option 1: UK / Ireland / Netherlands,United Kingdom / Ireland / Netherlands,248,EKKO,Utrecht,Netherlands,forward-thinking indie venue,Public buyer not found in quick pass,info@ekko.nl,Venue link: https://ekko.nl,facebook.com: https://www.facebook.com/PoppodiumEKKO / facebook.com: https://www.facebook.com/tr / instagram.com: https://www.instagram.com/ekko.nl / instagram.com: https://www.instagram.com/p/DYmt-9NjE-E,€150-€700 guarantee or door split,small,,,,,,,,,,,,,,,,,
venue,Tour Option 1: UK / Ireland / Netherlands,United Kingdom / Ireland / Netherlands,3,St Pancras Old Church,London,United Kingdom,intimate seated/acoustic-friendly church venue,Public buyer not found in quick pass,"fr.owen@posp.co.uk, brendan.collins@posp.co.uk, stpancrasoldchurch@outlook.com",Venue link: https://stpancrasoldchurch.posp.co.uk,facebook.com: https://www.facebook.com/oldsaintpancrasteamministry / facebook.com: https://facebook.com/SPOCMusic / facebook.com: https://www.facebook.com/StPancrasOldChurch,€150-€600 / £150-£500 guarantee or door split,small,,,,,,,,,,,,,,,,,
