country,country_rank,band,type,begin,genres,why_fit,band_manager,manager_contact_info,cities_venues_past_18_months,band_socials,band_website,soundcloud,spotify,apple_music,recent_articles_past_18_months,musicbrainz
United Kingdom,1,This Is the Kit,Group,2003,"alternative rock, indie rock, indie folk","Compatible indie folk, alt-rock, indie rock, folk, alternative audience; plausible support/co-bill target for The Dialtones.",Public manager not verified in first pass,https://www.google.com/search?q=%22This%20Is%20the%20Kit%22%20band%20manager%20booking%20agent%20contact,https://www.google.com/search?q=%22This%20Is%20the%20Kit%22%20tour%20dates%20venues%202025%202026 | https://www.songkick.com/search?query=This%20Is%20the%20Kit | https://www.bandsintown.com/search?query=This%20Is%20the%20Kit | https://www.setlist.fm/search?query=This%20Is%20the%20Kit,https://www.instagram.com/explore/search/keyword/?q=This%20Is%20the%20Kit | https://www.facebook.com/search/top?q=This%20Is%20the%20Kit,https://www.google.com/search?q=This%20Is%20the%20Kit%20band%20official%20website,https://soundcloud.com/search?q=This%20Is%20the%20Kit,https://open.spotify.com/search/This%20Is%20the%20Kit,https://music.apple.com/us/search?term=This%20Is%20the%20Kit,https://www.google.com/search?tbm=nws&q=%22This%20Is%20the%20Kit%22%20band%20after%3A2024-11-28,https://musicbrainz.org/artist/c7a4dcf7-61f8-4126-bec8-3bfa3b18284a
United Kingdom,2,Mumford & Sons,Group,2007-12,"alternative rock, folk rock, folk pop, stomp and holler, remember, indie folk, alt-country, americana","Compatible indie folk, folk-rock, Americana, alt-rock, folk, alternative audience; plausible support/co-bill target for The Dialtones.",Public manager not verified in first pass,https://www.google.com/search?q=%22Mumford%20%26%20Sons%22%20band%20manager%20booking%20agent%20contact,https://www.google.com/search?q=%22Mumford%20%26%20Sons%22%20tour%20dates%20venues%202025%202026 | https://www.songkick.com/search?query=Mumford%20%26%20Sons | https://www.bandsintown.com/search?query=Mumford%20%26%20Sons | https://www.setlist.fm/search?query=Mumford%20%26%20Sons,https://www.instagram.com/explore/search/keyword/?q=Mumford%20%26%20Sons | https://www.facebook.com/search/top?q=Mumford%20%26%20Sons,https://www.google.com/search?q=Mumford%20%26%20Sons%20band%20official%20website,https://soundcloud.com/search?q=Mumford%20%26%20Sons,https://open.spotify.com/search/Mumford%20%26%20Sons,https://music.apple.com/us/search?term=Mumford%20%26%20Sons,https://www.google.com/search?tbm=nws&q=%22Mumford%20%26%20Sons%22%20band%20after%3A2024-11-28,https://musicbrainz.org/artist/c44e9c22-ef82-4a77-9bcd-af6c958446d6
United Kingdom,3,Smoke Fairies,Group,2006,"alternative rock, indie rock, folk rock","Compatible folk-rock, alt-rock, indie rock, folk, alternative audience; plausible support/co-bill target for The Dialtones.",Public manager not verified in first pass,https://www.google.com/search?q=%22Smoke%20Fairies%22%20band%20manager%20booking%20agent%20contact,https://www.google.com/search?q=%22Smoke%20Fairies%22%20tour%20dates%20venues%202025%202026 | https://www.songkick.com/search?query=Smoke%20Fairies | https://www.bandsintown.com/search?query=Smoke%20Fairies | https://www.setlist.fm/search?query=Smoke%20Fairies,https://www.instagram.com/explore/search/keyword/?q=Smoke%20Fairies | https://www.facebook.com/search/top?q=Smoke%20Fairies,https://www.google.com/search?q=Smoke%20Fairies%20band%20official%20website,https://soundcloud.com/search?q=Smoke%20Fairies,https://open.spotify.com/search/Smoke%20Fairies,https://music.apple.com/us/search?term=Smoke%20Fairies,https://www.google.com/search?tbm=nws&q=%22Smoke%20Fairies%22%20band%20after%3A2024-11-28,https://musicbrainz.org/artist/f5538f31-beb0-41aa-a6c4-8dc698ad56c5
United Kingdom,4,Treetop Flyers,Group,2009,"indie rock, folk rock, indie folk","Compatible indie folk, folk-rock, indie rock, folk audience; plausible support/co-bill target for The Dialtones.",Public manager not verified in first pass,https://www.google.com/search?q=%22Treetop%20Flyers%22%20band%20manager%20booking%20agent%20contact,https://www.google.com/search?q=%22Treetop%20Flyers%22%20tour%20dates%20venues%202025%202026 | https://www.songkick.com/search?query=Treetop%20Flyers | https://www.bandsintown.com/search?query=Treetop%20Flyers | https://www.setlist.fm/search?query=Treetop%20Flyers,https://www.instagram.com/explore/search/keyword/?q=Treetop%20Flyers | https://www.facebook.com/search/top?q=Treetop%20Flyers,https://www.google.com/search?q=Treetop%20Flyers%20band%20official%20website,https://soundcloud.com/search?q=Treetop%20Flyers,https://open.spotify.com/search/Treetop%20Flyers,https://music.apple.com/us/search?term=Treetop%20Flyers,https://www.google.com/search?tbm=nws&q=%22Treetop%20Flyers%22%20band%20after%3A2024-11-28,https://musicbrainz.org/artist/00da0af4-9deb-4266-87ba-20c0e64768d6
United Kingdom,5,Coldplay,Group,1996-09,"rock, pop, alternative rock, british, uk, britannique, indie rock, britpop","Compatible alt-rock, indie rock, alternative audience; plausible support/co-bill target for The Dialtones.",Public manager not verified in first pass,https://www.google.com/search?q=%22Coldplay%22%20band%20manager%20booking%20agent%20contact,https://www.google.com/search?q=%22Coldplay%22%20tour%20dates%20venues%202025%202026 | https://www.songkick.com/search?query=Coldplay | https://www.bandsintown.com/search?query=Coldplay | https://www.setlist.fm/search?query=Coldplay,https://www.instagram.com/explore/search/keyword/?q=Coldplay | https://www.facebook.com/search/top?q=Coldplay,https://www.google.com/search?q=Coldplay%20band%20official%20website,https://soundcloud.com/search?q=Coldplay,https://open.spotify.com/search/Coldplay,https://music.apple.com/us/search?term=Coldplay,https://www.google.com/search?tbm=nws&q=%22Coldplay%22%20band%20after%3A2024-11-28,https://musicbrainz.org/artist/cc197bad-dc9c-440d-a5b5-d52ba2e14234
United Kingdom,6,Blossoms,Group,2013,"alternative rock, alternative pop, indie pop, indie rock","Compatible alt-rock, indie rock, alternative audience; plausible support/co-bill target for The Dialtones.",Public manager not verified in first pass,https://www.google.com/search?q=%22Blossoms%22%20band%20manager%20booking%20agent%20contact,https://www.google.com/search?q=%22Blossoms%22%20tour%20dates%20venues%202025%202026 | https://www.songkick.com/search?query=Blossoms | https://www.bandsintown.com/search?query=Blossoms | https://www.setlist.fm/search?query=Blossoms,https://www.instagram.com/explore/search/keyword/?q=Blossoms | https://www.facebook.com/search/top?q=Blossoms,https://www.google.com/search?q=Blossoms%20band%20official%20website,https://soundcloud.com/search?q=Blossoms,https://open.spotify.com/search/Blossoms,https://music.apple.com/us/search?term=Blossoms,https://www.google.com/search?tbm=nws&q=%22Blossoms%22%20band%20after%3A2024-11-28,https://musicbrainz.org/artist/bdc343bd-1c45-4a5d-b956-c4429f3dbba5
United Kingdom,7,Turin Brakes,Group,1999,"indie folk, indie pop, folk, pop, british, english, rock and indie, indie rock","Compatible indie folk, indie rock, folk audience; plausible support/co-bill target for The Dialtones.",Public manager not verified in first pass,https://www.google.com/search?q=%22Turin%20Brakes%22%20band%20manager%20booking%20agent%20contact,https://www.google.com/search?q=%22Turin%20Brakes%22%20tour%20dates%20venues%202025%202026 | https://www.songkick.com/search?query=Turin%20Brakes | https://www.bandsintown.com/search?query=Turin%20Brakes | https://www.setlist.fm/search?query=Turin%20Brakes,https://www.instagram.com/explore/search/keyword/?q=Turin%20Brakes | https://www.facebook.com/search/top?q=Turin%20Brakes,https://www.google.com/search?q=Turin%20Brakes%20band%20official%20website,https://soundcloud.com/search?q=Turin%20Brakes,https://open.spotify.com/search/Turin%20Brakes,https://music.apple.com/us/search?term=Turin%20Brakes,https://www.google.com/search?tbm=nws&q=%22Turin%20Brakes%22%20band%20after%3A2024-11-28,https://musicbrainz.org/artist/2ecbd923-9daf-4f18-9250-e482ccec4c28
United Kingdom,8,Trembling Bells,Group,2008,"pop, folk, folk rock, indie folk, neo-psychedelia, alternative/indie rock, mike hastings","Compatible indie folk, folk-rock, indie rock, folk, alternative audience; plausible support/co-bill target for The Dialtones.",Public manager not verified in first pass,https://www.google.com/search?q=%22Trembling%20Bells%22%20band%20manager%20booking%20agent%20contact,https://www.google.com/search?q=%22Trembling%20Bells%22%20tour%20dates%20venues%202025%202026 | https://www.songkick.com/search?query=Trembling%20Bells | https://www.bandsintown.com/search?query=Trembling%20Bells | https://www.setlist.fm/search?query=Trembling%20Bells,https://www.instagram.com/explore/search/keyword/?q=Trembling%20Bells | https://www.facebook.com/search/top?q=Trembling%20Bells,https://www.google.com/search?q=Trembling%20Bells%20band%20official%20website,https://soundcloud.com/search?q=Trembling%20Bells,https://open.spotify.com/search/Trembling%20Bells,https://music.apple.com/us/search?term=Trembling%20Bells,https://www.google.com/search?tbm=nws&q=%22Trembling%20Bells%22%20band%20after%3A2024-11-28,https://musicbrainz.org/artist/d759c43d-a70f-46d6-832c-92879d2106e8
United Kingdom,9,I Am Kloot,Group,1999,"uk, indie rock, indie folk, english, rock and indie","Compatible indie folk, indie rock, folk audience; plausible support/co-bill target for The Dialtones.",Public manager not verified in first pass,https://www.google.com/search?q=%22I%20Am%20Kloot%22%20band%20manager%20booking%20agent%20contact,https://www.google.com/search?q=%22I%20Am%20Kloot%22%20tour%20dates%20venues%202025%202026 | https://www.songkick.com/search?query=I%20Am%20Kloot | https://www.bandsintown.com/search?query=I%20Am%20Kloot | https://www.setlist.fm/search?query=I%20Am%20Kloot,https://www.instagram.com/explore/search/keyword/?q=I%20Am%20Kloot | https://www.facebook.com/search/top?q=I%20Am%20Kloot,https://www.google.com/search?q=I%20Am%20Kloot%20band%20official%20website,https://soundcloud.com/search?q=I%20Am%20Kloot,https://open.spotify.com/search/I%20Am%20Kloot,https://music.apple.com/us/search?term=I%20Am%20Kloot,https://www.google.com/search?tbm=nws&q=%22I%20Am%20Kloot%22%20band%20after%3A2024-11-28,https://musicbrainz.org/artist/7bd92ac9-6b2e-4e88-812a-60499ec60a9d
United Kingdom,10,Gomez,Group,1996,"alternative rock, british, uk, indie rock, folk rock, blues rock, britpop, indie pop","Compatible folk-rock, alt-rock, indie rock, folk, alternative audience; plausible support/co-bill target for The Dialtones.",Public manager not verified in first pass,https://www.google.com/search?q=%22Gomez%22%20band%20manager%20booking%20agent%20contact,https://www.google.com/search?q=%22Gomez%22%20tour%20dates%20venues%202025%202026 | https://www.songkick.com/search?query=Gomez | https://www.bandsintown.com/search?query=Gomez | https://www.setlist.fm/search?query=Gomez,https://www.instagram.com/explore/search/keyword/?q=Gomez | https://www.facebook.com/search/top?q=Gomez,https://www.google.com/search?q=Gomez%20band%20official%20website,https://soundcloud.com/search?q=Gomez,https://open.spotify.com/search/Gomez,https://music.apple.com/us/search?term=Gomez,https://www.google.com/search?tbm=nws&q=%22Gomez%22%20band%20after%3A2024-11-28,https://musicbrainz.org/artist/304cdd9d-a04e-4eb2-865c-980a553a0efd
