record_type,route_option,route_countries,venue_#,venue_Venue,venue_City,venue_Country,venue_Why It Fits The Dialtones,venue_Venue Booking Agent Name,venue_Booking Agent Email / Booking Route,venue_Link of Venue,venue_Social Media Links for Venue,venue_Typical Venue Pay,venue_Size Tier,cobill_country,cobill_country_rank,cobill_band,cobill_type,cobill_begin,cobill_genres,cobill_why_fit,cobill_band_manager,cobill_manager_contact_info,cobill_cities_venues_past_18_months,cobill_band_socials,cobill_band_website,cobill_soundcloud,cobill_spotify,cobill_apple_music,cobill_recent_articles_past_18_months,cobill_musicbrainz
venue,Tour Option 2: Netherlands / Belgium / Germany,Netherlands / Belgium / Germany,246,Tolhuistuin,Amsterdam,Netherlands,arts/music venue,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link: https://tolhuistuin.nl,facebook.com: https://www.facebook.com/tr / facebook.com: https://www.facebook.com/Tolhuistuin / instagram.com: https://instagram.com/tolhuistuin,"€600-€2,500 guarantee vs split",mid,,,,,,,,,,,,,,,,,
venue,Tour Option 2: Netherlands / Belgium / Germany,Netherlands / Belgium / Germany,106,Botanique,Brussels,Belgium,multi-room indie/alternative venue,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link: https://botanique.be,Instagram search: https://www.instagram.com/explore/search/keyword/?q=Botanique+Brussels / Facebook search: https://www.facebook.com/search/top?q=Botanique+Brussels,"€600-€2,500 guarantee vs split",mid,,,,,,,,,,,,,,,,,
venue,Tour Option 2: Netherlands / Belgium / Germany,Netherlands / Belgium / Germany,195,Privatclub,Berlin,Germany,compact indie/rock venue,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link: https://privatclub-berlin.de,facebook.com: https://www.facebook.com/privatclub / twitter.com: https://twitter.com/privatclub_bln / instagram.com: https://www.instagram.com/privatclub_berlin / instagram.com: https://www.instagram.com/sandra.hesch,€150-€700 guarantee or door split,small,,,,,,,,,,,,,,,,,
venue,Tour Option 2: Netherlands / Belgium / Germany,Netherlands / Belgium / Germany,247,Cinetol,Amsterdam,Netherlands,small indie room,Public buyer not found in quick pass,info@cinetol.nl,Venue link: https://cinetol.nl,instagram.com: https://www.instagram.com/cinetolamsterdam / facebook.com: https://www.facebook.com/Cinetol,€150-€700 guarantee or door split,small,,,,,,,,,,,,,,,,,
venue,Tour Option 2: Netherlands / Belgium / Germany,Netherlands / Belgium / Germany,110,VK Vaartkapoen,Brussels,Belgium,community/global/alternative venue,Public buyer not found in quick pass,devaartkapoen@vgc.be,Venue link: https://www.vaartkapoen.be,facebook.com: https://www.facebook.com/VKvaartkapoen / instagram.com: https://www.instagram.com/vkvaartkapoen,€150-€700 guarantee or door split,small,,,,,,,,,,,,,,,,,
venue,Tour Option 2: Netherlands / Belgium / Germany,Netherlands / Belgium / Germany,235,Kulturzentrum Merlin,Stuttgart,Germany,arts-forward Stuttgart room,Public buyer not found in quick pass,info@merlinstuttgart.de,Venue link: https://www.merlinstuttgart.de,x.com: https://x.com/merlinstuttgart / instagram.com: https://www.instagram.com/merlinstuttgart / facebook.com: https://www.facebook.com/Merlinstuttgart,€150-€700 guarantee or door split,small,,,,,,,,,,,,,,,,,
venue,Tour Option 2: Netherlands / Belgium / Germany,Netherlands / Belgium / Germany,248,EKKO,Utrecht,Netherlands,forward-thinking indie venue,Public buyer not found in quick pass,info@ekko.nl,Venue link: https://ekko.nl,facebook.com: https://www.facebook.com/PoppodiumEKKO / facebook.com: https://www.facebook.com/tr / instagram.com: https://www.instagram.com/ekko.nl / instagram.com: https://www.instagram.com/p/DYmt-9NjE-E,€150-€700 guarantee or door split,small,,,,,,,,,,,,,,,,,
venue,Tour Option 2: Netherlands / Belgium / Germany,Netherlands / Belgium / Germany,111,Trix,Antwerp,Belgium,Antwerp indie/alternative rooms,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link: https://www.trixonline.be,facebook.com: https://www.facebook.com/tr / facebook.com: https://www.facebook.com/trixonline / twitter.com: https://twitter.com/trix_online / instagram.com: http://instagram.com/trix_online,"€600-€2,500 guarantee vs split",mid,,,,,,,,,,,,,,,,,
venue,Tour Option 2: Netherlands / Belgium / Germany,Netherlands / Belgium / Germany,196,Lido,Berlin,Germany,Kreuzberg indie institution,Public buyer not found in quick pass,"info@lido-berlin.de, INFO@LIDO-BERLIN.DE",Venue link: https://www.lido-berlin.de,facebook.com: https://www.facebook.com/lidoberlin / instagram.com: https://www.instagram.com/lidoberlin / facebook.com: https://www.facebook.com/sharer.php / facebook.com: https://www.facebook.com/36Concerts,"€600-€2,500 guarantee vs split",mid,,,,,,,,,,,,,,,,,
venue,Tour Option 2: Netherlands / Belgium / Germany,Netherlands / Belgium / Germany,240,Vera,Groningen,Netherlands,legendary DIY grassroots venue,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link: https://www.vera-groningen.nl,Instagram search: https://www.instagram.com/explore/search/keyword/?q=Vera+Groningen / Facebook search: https://www.facebook.com/search/top?q=Vera+Groningen,€150-€700 guarantee or door split,small,,,,,,,,,,,,,,,,,
